패치,라인,챔피언(한국어),챔피언(영어),챔피언ID,라인내순위,전체순위,순위변동,전체순위변동,티어,OP픽,꿀픽,게임수,픽률(%),밴률(%),승률(%),OP점수,꿀픽점수,업데이트시각
26.14,탑,모데카이저,Mordekaiser,82,33,129,27,0,B,False,False,1938,4.53,2.28,48.19,49.66,-6.62,2026-07-23T07:26:20.000Z
26.14,탑,다리우스,Darius,122,34,132,-21,0,B,False,False,1364,3.19,3.80,48.46,49.58,-3.85,2026-07-23T07:26:19.000Z
26.14,탑,오른,Ornn,516,35,135,-4,0,B,False,False,865,2.02,0.06,50.17,49.55,1.11,2026-07-23T07:26:20.000Z
26.14,탑,그웬,Gwen,887,36,138,3,0,B,False,False,603,1.41,0.62,50.58,49.49,1.35,2026-07-23T07:26:20.000Z
26.14,탑,그라가스,Gragas,79,37,151,20,0,B,False,False,908,2.12,0.16,50.33,49.19,1.50,2026-07-23T07:26:20.000Z
26.14,탑,리븐,Riven,92,38,152,-14,0,B,False,False,934,2.18,0.28,50.21,49.19,1.29,2026-07-23T07:26:18.000Z
26.14,탑,가렌,Garen,86,39,159,-24,0,C,False,False,983,2.30,0.51,49.14,48.92,-1.13,2026-07-23T07:26:20.000Z
26.14,탑,세트,Sett,875,40,164,14,0,C,False,False,736,1.72,0.21,50.27,48.57,1.11,2026-07-23T07:26:19.000Z
26.14,탑,일라오이,Illaoi,420,41,166,-5,0,C,False,False,744,1.74,0.61,49.73,48.54,0.18,2026-07-23T07:26:20.000Z
26.14,탑,자헨,Zaahen,904,42,170,-22,0,C,False,False,1388,3.24,0.53,48.56,48.44,-3.47,2026-07-23T07:26:19.000Z
26.14,탑,초가스,Cho'Gath,31,43,177,4,0,C,False,False,334,0.78,0.14,52.10,48.27,1.93,2026-07-23T07:26:20.000Z
26.14,탑,케일,Kayle,10,44,178,11,0,C,False,False,382,0.89,0.09,51.05,48.27,1.27,2026-07-23T07:26:20.000Z
26.14,탑,케넨,Kennen,85,45,181,-13,0,C,False,False,647,1.51,1.61,49.46,48.20,-0.25,2026-07-23T07:26:20.000Z
26.14,탑,탐 켄치,Tahm Kench,223,46,182,-8,0,C,False,False,219,0.51,0.26,52.51,48.18,1.48,2026-07-23T07:26:20.000Z
26.14,탑,하이머딩거,Heimerdinger,74,47,187,5,0,C,False,False,467,1.09,1.03,50.96,48.10,1.47,2026-07-23T07:26:20.000Z
26.14,탑,쉔,Shen,98,48,193,-18,0,C,False,False,1018,2.38,0.91,48.43,47.96,-2.85,2026-07-23T07:26:20.000Z
26.14,탑,빅토르,Viktor,112,49,196,124,0,C,False,False,223,0.52,19.59,49.78,47.88,0.08,2026-07-23T07:26:19.000Z
26.14,탑,사일러스,Sylas,517,50,197,-8,0,C,False,False,610,1.42,23.62,48.85,47.86,-1.11,2026-07-23T07:26:19.000Z
26.14,탑,블라디미르,Vladimir,8,51,200,2,0,C,False,False,694,1.62,1.63,48.85,47.64,-1.27,2026-07-23T07:26:19.000Z
26.14,탑,우르곳,Urgot,6,52,203,-17,0,C,False,False,491,1.15,0.08,49.49,47.55,-0.15,2026-07-23T07:26:20.000Z
26.14,탑,리산드라,Lissandra,127,53,205,-5,0,C,False,False,241,0.56,2.22,51.87,47.34,1.26,2026-07-23T07:26:19.000Z
26.14,탑,신 짜오,Xin Zhao,5,54,215,10,0,C,False,False,278,0.65,1.06,50.72,46.81,0.71,2026-07-23T07:26:20.000Z
26.14,탑,마스터 이,Master Yi,11,55,218,118,0,C,False,False,243,0.57,2.30,50.62,46.75,0.56,2026-07-23T07:26:20.000Z
26.14,탑,라이즈,Ryze,13,56,220,0,0,C,False,False,669,1.56,1.63,48.28,46.63,-2.11,2026-07-23T07:26:20.000Z
26.14,탑,오로라,Aurora,893,57,231,-7,0,C,False,False,322,0.75,0.90,48.45,45.92,-0.89,2026-07-23T07:26:20.000Z
26.14,탑,오공,Wukong,62,58,241,1,0,D,False,False,285,0.67,0.71,48.07,45.24,-1.04,2026-07-23T07:26:20.000Z
26.14,탑,코르키,Corki,42,59,242,114,0,D,False,False,252,0.59,0.09,48.81,44.91,-0.48,2026-07-23T07:26:20.000Z
26.14,탑,스웨인,Swain,50,60,243,1,0,D,False,False,485,1.13,0.53,46.60,44.71,-3.43,2026-07-23T07:26:20.000Z
26.14,탑,우디르,Udyr,77,61,244,-27,0,D,False,False,299,0.70,0.09,48.49,44.63,-0.79,2026-07-23T07:26:18.000Z
26.14,탑,나서스,Nasus,75,62,245,-17,0,D,False,False,508,1.19,2.20,45.67,44.57,-4.73,2026-07-23T07:26:20.000Z
26.14,탑,녹턴,Nocturne,56,63,250,-12,0,D,False,False,220,0.51,4.01,45.91,43.32,-1.92,2026-07-23T07:26:20.000Z
26.14,탑,볼리베어,Volibear,106,64,253,-6,0,D,False,False,381,0.89,0.30,45.41,43.27,-3.76,2026-07-23T07:26:20.000Z
26.14,탑,바루스,Varus,110,65,257,-3,0,D,False,False,410,0.96,1.19,44.88,42.54,-4.57,2026-07-23T07:26:19.000Z
26.14,탑,마오카이,Maokai,57,66,263,-3,0,D,False,False,221,0.52,0.10,38.91,35.98,-5.53,2026-07-23T07:26:20.000Z
26.14,정글,리 신,Lee Sin,64,1,1,0,0,S,True,False,11042,25.79,52.94,50.15,59.29,19.65,2026-07-23T07:26:18.000Z
26.14,정글,니달리,Nidalee,76,2,4,0,0,S,True,True,3476,8.12,14.30,55.09,56.50,49.96,2026-07-23T07:26:17.000Z
26.14,정글,나피리,Naafiri,950,3,24,0,0,S,False,False,4414,10.31,31.79,48.55,54.26,-17.59,2026-07-23T07:26:19.000Z
26.14,정글,벨베스,Bel'Veth,200,4,25,0,0,S,False,True,1577,3.68,8.88,54.91,54.11,20.56,2026-07-23T07:26:18.000Z
26.14,정글,그레이브즈,Graves,104,5,32,10,0,S,False,False,4238,9.90,5.10,50.19,53.58,4.21,2026-07-23T07:26:17.000Z
26.14,정글,헤카림,Hecarim,120,6,40,3,0,A,False,False,2685,6.27,3.30,51.40,52.84,10.46,2026-07-23T07:26:19.000Z
26.14,정글,사일러스,Sylas,517,7,44,-2,0,A,False,False,4296,10.03,23.62,48.72,52.64,-11.66,2026-07-23T07:26:18.000Z
26.14,정글,바이,Vi,254,8,52,5,0,A,False,False,3534,8.25,2.63,49.43,52.00,-2.96,2026-07-23T07:26:19.000Z
26.14,정글,킨드레드,Kindred,203,9,53,5,0,A,False,False,2239,5.23,1.57,51.63,51.98,9.81,2026-07-23T07:26:19.000Z
26.14,정글,카서스,Karthus,30,10,55,-2,0,A,False,False,884,2.06,5.98,53.62,51.90,8.29,2026-07-23T07:26:19.000Z
26.14,정글,샤코,Shaco,35,11,59,5,0,A,False,False,884,2.06,10.12,51.36,51.78,3.44,2026-07-23T07:26:18.000Z
26.14,정글,렉사이,Rek'Sai,421,12,64,-6,0,A,False,False,1613,3.77,2.96,51.39,51.61,6.23,2026-07-23T07:26:19.000Z
26.14,정글,키아나,Qiyana,246,13,65,-6,0,A,False,False,3050,7.12,7.32,49.05,51.53,-5.49,2026-07-23T07:26:19.000Z
26.14,정글,마스터 이,Master Yi,11,14,83,4,0,A,False,False,1442,3.37,2.30,50.90,51.06,3.83,2026-07-23T07:26:20.000Z
26.14,정글,자이라,Zyra,143,15,87,-5,0,A,False,False,754,1.76,3.58,53.85,50.87,7.28,2026-07-23T07:26:20.000Z
26.14,정글,누누와 윌럼프,Nunu & Willump,20,16,92,15,0,A,False,False,740,1.73,1.17,53.38,50.76,6.26,2026-07-23T07:26:20.000Z
26.14,정글,오공,Wukong,62,17,94,10,0,A,False,False,1795,4.19,0.71,50.97,50.69,5.02,2026-07-23T07:26:19.000Z
26.14,정글,피즈,Fizz,105,18,99,24,0,A,False,False,290,0.68,1.50,58.62,50.54,6.00,2026-07-23T07:26:20.000Z
26.14,정글,탈리야,Taliyah,163,19,108,2,0,B,False,False,774,1.81,0.61,54.01,50.22,7.64,2026-07-23T07:26:20.000Z
26.14,정글,자르반 4세,Jarvan IV,59,20,115,5,0,B,False,False,2918,6.82,0.48,48.97,50.08,-5.56,2026-07-23T07:26:20.000Z
26.14,정글,신 짜오,Xin Zhao,5,21,119,-2,0,B,False,False,2748,6.42,1.06,48.44,49.89,-8.74,2026-07-23T07:26:20.000Z
26.14,정글,에코,Ekko,245,22,120,16,0,B,False,False,1328,3.10,0.52,49.92,49.83,0.44,2026-07-23T07:26:18.000Z
26.14,정글,케인,Kayn,141,23,123,0,0,B,False,False,1016,2.37,0.14,50.98,49.80,2.85,2026-07-23T07:26:20.000Z
26.14,정글,엘리스,Elise,60,24,125,-4,0,B,False,False,818,1.91,4.17,50.37,49.71,1.13,2026-07-23T07:26:19.000Z
26.14,정글,아트록스,Aatrox,266,25,127,25,0,B,False,False,298,0.70,2.73,54.70,49.66,3.43,2026-07-23T07:26:20.000Z
26.14,정글,탈론,Talon,91,26,140,-15,0,C,False,False,1805,4.22,3.40,48.64,49.47,-4.89,2026-07-23T07:26:19.000Z
26.14,정글,올라프,Olaf,2,27,141,26,0,C,False,False,296,0.69,4.29,54.73,49.45,3.44,2026-07-23T07:26:20.000Z
26.14,정글,녹턴,Nocturne,56,28,144,-11,0,C,False,False,1995,4.66,4.01,47.97,49.39,-8.76,2026-07-23T07:26:19.000Z
26.14,정글,렝가,Rengar,107,29,149,11,0,C,False,False,667,1.56,1.76,49.93,49.33,0.22,2026-07-23T07:26:20.000Z
26.14,정글,암베사,Ambessa,799,30,153,17,0,C,False,False,924,2.16,5.85,49.68,49.13,-0.24,2026-07-23T07:26:20.000Z
26.14,정글,제이스,Jayce,126,31,156,-7,0,C,False,False,2170,5.07,30.15,46.73,49.02,-16.85,2026-07-23T07:26:18.000Z
26.14,정글,로크,Locke,805,32,158,-20,0,C,False,False,1073,2.51,82.04,46.69,48.92,-9.31,2026-07-23T07:26:18.000Z
26.14,정글,자크,Zac,154,33,162,11,0,C,False,False,769,1.80,0.64,50.20,48.87,0.74,2026-07-23T07:26:20.000Z
26.14,정글,쉬바나,Shyvana,102,34,163,139,0,C,False,False,307,0.72,0.06,53.42,48.74,2.61,2026-07-23T07:26:19.000Z
26.14,정글,아이번,Ivern,427,35,165,4,0,C,False,False,369,0.86,0.38,53.39,48.56,3.12,2026-07-23T07:26:20.000Z
26.14,정글,카직스,Kha'Zix,121,36,186,-8,0,C,False,False,1461,3.41,1.28,48.12,48.11,-5.76,2026-07-23T07:26:19.000Z
26.14,정글,릴리아,Lillia,876,37,189,4,0,C,False,False,556,1.30,0.42,49.46,48.09,-0.42,2026-07-23T07:26:19.000Z
26.14,정글,나서스,Nasus,75,38,190,-16,0,C,False,False,804,1.88,2.20,48.26,48.04,-2.90,2026-07-23T07:26:19.000Z
26.14,정글,피들스틱,Fiddlesticks,9,39,191,4,0,C,False,False,458,1.07,0.51,50.00,47.99,0.23,2026-07-23T07:26:20.000Z
26.14,정글,비에고,Viego,234,40,204,-3,0,C,False,False,2735,6.39,0.85,46.62,47.54,-20.39,2026-07-23T07:26:20.000Z
26.14,정글,스카너,Skarner,72,41,208,-12,0,C,False,False,598,1.40,0.19,49.00,47.25,-1.10,2026-07-23T07:26:20.000Z
26.14,정글,워윅,Warwick,19,42,211,-16,0,C,False,False,454,1.06,0.40,49.34,47.03,-0.47,2026-07-23T07:26:20.000Z
26.14,정글,잭스,Jax,24,43,214,6,0,C,False,False,323,0.75,18.37,47.99,46.85,-1.38,2026-07-23T07:26:19.000Z
26.14,정글,뽀삐,Poppy,78,44,217,-9,0,C,False,False,607,1.42,21.42,46.95,46.76,-4.16,2026-07-23T07:26:20.000Z
26.14,정글,이블린,Evelynn,28,45,223,-11,0,C,False,False,527,1.23,0.45,48.20,46.50,-1.96,2026-07-23T07:26:20.000Z
26.14,정글,브라이어,Briar,233,46,228,-13,0,C,False,False,704,1.64,0.51,47.59,45.99,-3.63,2026-07-23T07:26:20.000Z
26.14,정글,그웬,Gwen,887,47,233,1,0,C,False,False,282,0.66,0.62,49.65,45.77,-0.09,2026-07-23T07:26:19.000Z
26.14,정글,람머스,Rammus,33,48,234,-16,0,C,False,False,328,0.77,0.56,48.78,45.71,-0.77,2026-07-23T07:26:19.000Z
26.14,정글,우디르,Udyr,77,49,238,-13,0,C,False,False,245,0.57,0.09,49.39,45.46,-0.23,2026-07-23T07:26:19.000Z
26.14,정글,퀸,Quinn,133,50,248,2,0,D,False,False,220,0.51,0.21,46.82,43.91,-1.53,2026-07-23T07:26:20.000Z
26.14,정글,세주아니,Sejuani,113,51,252,-21,0,D,False,False,316,0.74,0.10,45.25,43.29,-3.35,2026-07-23T07:26:20.000Z
26.14,정글,판테온,Pantheon,80,52,254,-6,0,D,False,False,693,1.62,2.27,44.16,43.11,-9.13,2026-07-23T07:26:20.000Z
26.14,정글,다이애나,Diana,131,53,255,-8,0,D,False,False,463,1.08,1.44,44.49,43.08,-5.74,2026-07-23T07:26:19.000Z
26.14,정글,제드,Zed,238,54,258,-3,0,D,False,False,289,0.67,12.15,43.60,41.65,-4.23,2026-07-23T07:26:19.000Z
26.14,미드,로크,Locke,805,1,2,0,0,S,True,True,3372,7.88,82.04,54.15,58.33,70.17,2026-07-23T07:26:17.000Z
26.14,미드,빅토르,Viktor,112,2,6,3,0,S,False,False,4610,10.77,19.59,50.02,56.32,1.21,2026-07-23T07:26:19.000Z
26.14,미드,사일러스,Sylas,517,3,10,0,0,S,False,False,5011,11.70,23.62,49.11,55.36,-10.49,2026-07-23T07:26:18.000Z
26.14,미드,트위스티드 페이트,Twisted Fate,4,4,12,2,0,S,False,True,4011,9.37,3.02,52.88,55.28,28.51,2026-07-23T07:26:19.000Z
26.14,미드,르블랑,LeBlanc,7,5,14,2,0,S,False,False,1776,4.15,32.43,50.79,55.08,4.72,2026-07-23T07:26:19.000Z
26.14,미드,제드,Zed,238,6,17,4,0,A,False,False,2240,5.23,12.15,50.85,54.74,5.35,2026-07-23T07:26:18.000Z
26.14,미드,신드라,Syndra,134,7,18,-3,0,A,False,False,3520,8.22,15.28,49.89,54.71,-0.30,2026-07-23T07:26:17.000Z
26.14,미드,조이,Zoe,142,8,19,-6,0,A,False,False,1630,3.81,17.46,51.29,54.64,6.03,2026-07-23T07:26:19.000Z
26.14,미드,갈리오,Galio,3,9,20,-1,0,A,False,False,3844,8.98,4.35,51.20,54.64,11.89,2026-07-23T07:26:19.000Z
26.14,미드,아칼리,Akali,84,10,34,-1,0,A,False,False,3290,7.68,17.20,48.66,53.52,-11.13,2026-07-23T07:26:18.000Z
26.14,미드,키아나,Qiyana,246,11,35,11,0,A,False,False,1485,3.47,7.32,53.27,53.15,11.87,2026-07-23T07:26:19.000Z
26.14,미드,카타리나,Katarina,55,12,38,-1,0,A,False,False,2237,5.22,3.55,51.10,53.07,6.35,2026-07-23T07:26:18.000Z
26.14,미드,피즈,Fizz,105,13,41,8,0,A,False,False,1566,3.66,1.50,52.30,52.67,8.81,2026-07-23T07:26:20.000Z
26.14,미드,아크샨,Akshan,166,14,43,15,0,A,False,False,921,2.15,1.57,55.16,52.65,11.42,2026-07-23T07:26:20.000Z
26.14,미드,리산드라,Lissandra,127,15,47,-3,0,A,False,False,1957,4.57,2.22,50.64,52.35,3.34,2026-07-23T07:26:18.000Z
26.14,미드,탈론,Talon,91,16,48,-1,0,A,False,False,1762,4.12,3.40,50.79,52.34,3.66,2026-07-23T07:26:20.000Z
26.14,미드,요네,Yone,777,17,56,13,0,B,False,False,3860,9.02,7.08,48.29,51.86,-15.22,2026-07-23T07:26:19.000Z
26.14,미드,벡스,Vex,711,18,58,-4,0,B,False,False,999,2.33,2.79,52.25,51.82,5.58,2026-07-23T07:26:19.000Z
26.14,미드,아리,Ahri,103,19,61,-3,0,B,False,False,2458,5.74,0.64,49.67,51.68,-1.42,2026-07-23T07:26:17.000Z
26.14,미드,오리아나,Orianna,61,20,63,11,0,B,False,False,2160,5.04,1.38,49.54,51.63,-1.96,2026-07-23T07:26:20.000Z
26.14,미드,카시오페아,Cassiopeia,69,21,66,4,0,B,False,False,1254,2.93,3.77,51.67,51.53,5.24,2026-07-23T07:26:19.000Z
26.14,미드,애니비아,Anivia,34,22,73,2,0,B,False,False,1126,2.63,2.48,50.80,51.33,2.34,2026-07-23T07:26:20.000Z
26.14,미드,흐웨이,Hwei,910,23,75,-10,0,B,False,False,1791,4.18,2.27,49.58,51.27,-1.44,2026-07-23T07:26:20.000Z
26.14,미드,다이애나,Diana,131,24,76,8,0,B,False,False,1588,3.71,1.44,50.50,51.22,2.19,2026-07-23T07:26:18.000Z
26.14,미드,럭스,Lux,99,25,97,23,0,B,False,False,547,1.28,0.24,53.75,50.56,4.89,2026-07-23T07:26:20.000Z
26.14,미드,제이스,Jayce,126,26,102,-3,0,B,False,False,853,1.99,30.15,49.00,50.47,-1.89,2026-07-23T07:26:18.000Z
26.14,미드,애니,Annie,1,27,107,6,0,B,False,False,719,1.68,0.25,51.60,50.25,2.83,2026-07-23T07:26:20.000Z
26.14,미드,에코,Ekko,245,28,112,-8,0,B,False,False,1080,2.52,0.52,50.65,50.16,1.84,2026-07-23T07:26:19.000Z
26.14,미드,블라디미르,Vladimir,8,29,116,5,0,B,False,False,898,2.10,1.63,50.00,50.02,0.17,2026-07-23T07:26:20.000Z
26.14,미드,나피리,Naafiri,950,30,126,-2,0,C,False,False,482,1.13,31.79,51.45,49.70,1.78,2026-07-23T07:26:19.000Z
26.14,미드,야스오,Yasuo,157,31,136,-13,0,C,False,False,2615,6.11,10.76,47.00,49.52,-18.98,2026-07-23T07:26:19.000Z
26.14,미드,트리스타나,Tristana,18,32,137,19,0,C,False,False,813,1.90,3.30,49.32,49.49,-1.14,2026-07-23T07:26:19.000Z
26.14,미드,아우렐리온 솔,Aurelion Sol,136,33,142,8,0,C,False,False,501,1.17,0.21,52.30,49.42,2.78,2026-07-23T07:26:20.000Z
26.14,미드,신지드,Singed,27,34,145,-17,0,C,False,False,487,1.14,1.42,52.77,49.39,3.25,2026-07-23T07:26:20.000Z
26.14,미드,제라스,Xerath,101,35,155,-16,0,C,False,False,1038,2.42,47.55,48.07,49.07,-4.75,2026-07-23T07:26:17.000Z
26.14,미드,스웨인,Swain,50,36,167,11,0,C,False,False,332,0.78,0.53,49.10,48.50,-0.64,2026-07-23T07:26:20.000Z
26.14,미드,라이즈,Ryze,13,37,171,3,0,C,False,False,2291,5.35,1.63,47.14,48.41,-15.06,2026-07-23T07:26:19.000Z
26.14,미드,암베사,Ambessa,799,38,172,6,0,C,False,False,406,0.95,5.85,51.72,48.38,1.72,2026-07-23T07:26:20.000Z
26.14,미드,카사딘,Kassadin,38,39,173,4,0,C,False,False,597,1.39,0.17,49.25,48.34,-0.94,2026-07-23T07:26:20.000Z
26.14,미드,트린다미어,Tryndamere,23,40,175,-4,0,C,False,False,220,0.51,1.43,49.55,48.30,-0.19,2026-07-23T07:26:19.000Z
26.14,미드,누누와 윌럼프,Nunu & Willump,20,41,176,-14,0,C,False,False,350,0.82,1.17,50.57,48.29,0.53,2026-07-23T07:26:20.000Z
26.14,미드,말자하,Malzahar,90,42,183,3,0,C,False,False,781,1.82,0.46,48.78,48.18,-2.08,2026-07-23T07:26:19.000Z
26.14,미드,오로라,Aurora,893,43,188,-5,0,C,False,False,1530,3.57,0.90,47.58,48.09,-8.42,2026-07-23T07:26:19.000Z
26.14,미드,탈리야,Taliyah,163,44,206,-5,0,C,False,False,936,2.19,0.61,47.54,47.29,-5.21,2026-07-23T07:26:20.000Z
26.14,미드,아지르,Azir,268,45,207,8,0,C,False,False,727,1.70,0.31,48.01,47.28,-3.26,2026-07-23T07:26:20.000Z
26.14,미드,이렐리아,Irelia,39,46,209,-11,0,C,False,False,1054,2.46,19.02,46.02,47.21,-10.21,2026-07-23T07:26:19.000Z
26.14,미드,사이온,Sion,14,47,216,-5,0,C,False,False,532,1.24,1.13,47.93,46.78,-2.48,2026-07-23T07:26:20.000Z
26.14,미드,판테온,Pantheon,80,48,219,-2,0,C,False,False,592,1.38,2.27,47.47,46.72,-3.40,2026-07-23T07:26:20.000Z
26.14,미드,초가스,Cho'Gath,31,49,222,1,0,C,False,False,289,0.67,0.14,49.83,46.60,-0.06,2026-07-23T07:26:20.000Z
26.14,미드,레넥톤,Renekton,58,50,225,123,0,D,False,False,225,0.53,4.87,48.44,46.18,-0.78,2026-07-23T07:26:20.000Z
26.14,미드,니코,Neeko,518,51,232,-25,0,D,False,False,234,0.55,1.70,48.29,45.90,-0.89,2026-07-23T07:26:20.000Z
26.14,미드,베이가,Veigar,45,52,236,-15,0,D,False,False,341,0.80,0.19,48.09,45.65,-1.46,2026-07-23T07:26:21.000Z
26.14,미드,코르키,Corki,42,53,247,-1,0,D,False,False,622,1.45,0.09,45.18,43.98,-6.89,2026-07-23T07:26:19.000Z
26.14,미드,멜,Mel,800,54,262,-5,0,D,False,False,598,1.40,31.16,39.30,36.74,-15.50,2026-07-23T07:26:19.000Z
26.14,바텀,제라스,Xerath,101,1,5,7,0,S,True,False,7140,16.68,47.55,49.59,56.42,-2.63,2026-07-23T07:26:19.000Z
26.14,바텀,빅토르,Viktor,112,2,22,19,0,S,False,True,4159,9.71,19.59,51.86,54.45,23.22,2026-07-23T07:26:19.000Z
26.14,바텀,신드라,Syndra,134,3,29,6,0,S,False,False,3870,9.04,15.28,49.87,53.73,1.78,2026-07-23T07:26:18.000Z
26.14,바텀,진,Jhin,202,4,39,2,0,S,False,False,7028,16.41,0.79,50.34,53.04,10.79,2026-07-23T07:26:19.000Z
26.14,바텀,카이사,Kai'Sa,145,5,49,8,0,A,False,False,4735,11.06,0.50,50.83,52.19,12.72,2026-07-23T07:26:19.000Z
26.14,바텀,유나라,Yunara,804,6,50,11,0,A,False,False,5281,12.33,1.20,49.99,52.19,3.76,2026-07-23T07:26:19.000Z
26.14,바텀,직스,Ziggs,115,7,51,-3,0,A,False,False,4689,10.95,9.01,48.62,52.10,-12.76,2026-07-23T07:26:18.000Z
26.14,바텀,세나,Senna,235,8,60,-7,0,A,False,False,1648,3.85,7.58,51.33,51.77,6.57,2026-07-23T07:26:18.000Z
26.14,바텀,트리스타나,Tristana,18,9,68,-7,0,A,False,False,2165,5.06,3.30,50.44,51.46,3.88,2026-07-23T07:26:19.000Z
26.14,바텀,아펠리오스,Aphelios,523,10,77,9,0,A,False,False,2433,5.68,0.88,50.23,51.21,3.08,2026-07-23T07:26:19.000Z
26.14,바텀,세라핀,Seraphine,147,11,78,5,0,A,False,False,2159,5.04,3.56,51.23,51.21,7.90,2026-07-23T07:26:19.000Z
26.14,바텀,제리,Zeri,221,12,79,-1,0,A,False,False,2063,4.82,0.43,52.35,51.17,12.88,2026-07-23T07:26:18.000Z
26.14,바텀,이즈리얼,Ezreal,81,13,90,14,0,B,False,False,5939,13.87,9.78,47.15,50.79,-38.90,2026-07-23T07:26:19.000Z
